id;nombre;categoria;subcategoria;latitud longitud;descripcion;direccion;horario;precio_entrada;tiempo_visita_min;contacto_tel;web_url;imagen_url;audioguia_url;accesibilidad;aparcamiento;apto_ninos;etiquetas;puntuacion;Detalle
29;Oficina Turismo;Información;información;38.709853, -4.178002;Oficina de Información Turismo;Plaza Constitución (Mercado);De martes a domingos, de 10,30 a 14,00 horas;;;609 55 01 19;https://www.facebook.com/oficinadeturismodealmodovardelcampo/?locale=es_LA;https://scontent.fmad10-2.fna.fbcdn.net/v/t39.30808-6/473011227_595125179933392_6277619282201340753_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=108&ccb=1-7&_nc_sid=2a1932&_nc_ohc=ouuBOd7px9IQ7kNvwFQBP87&_nc_oc=AdpjR5y3HPLQYXBYNQCKadEIeYxKdBx4lRDTc1YU4r76BviTY1k_d70TqX34CfVqSx4&_nc_zt=23&_nc_ht=scontent.fmad10-2.fna&_nc_gid=UctONcYBcJQv9f45YT-dUw&_nc_ss=7a30f&oh=00_AfzETbHr-189psCnmyPjt0KWNgSeodVt-lZjMB2vpVA_Bw&oe=69C741BD;;;;;;;
30;Parking Huertas;Parking;Parking;38.708274, -4.177811;Parking;Calle Huertas;24 horas;;;;;https://www.almodovardelcampo.es/wp-content/uploads/2013/11/image3.png;;;;;;;
31;COVICAR;Compras;Productos típicos;38.71128621969639, -4.180716276168824;Entre otros venta de Aceite y vino ;Ctra Tirteafuera;;;;926 46 42 15;https://covicar.net/;https://covicar.net/wp-content/uploads/2024/12/olive_grove-01-min.jpg;;;;;;;"La tienda ofrece una amplia variedad de productos a la venta, siendo los productos estrella los aceites y vinos fabricados por nosotros, Dehesa de Almodóvar, Covicar y Balálita, nuestras marcas de referencia fruto de una cuidada elaboración en nuestras instalaciones. Además de ello se ofrecen todo tipo de productos de alimentación, limpieza, menaje, calzado, etc.

En la tienda disponemos también de todo tipo de semillas, fertilizantes, fitosanitarios, material de riego, aperos, útiles de jardinería, ferretería, en definitiva un amplio catálogo de productos a disposición de cualquier usuario.

Además, disponemos de una tienda online con reparto o recogida en el mismo local en la cual ofrecemos nuestros vinos y nuestros aceites."
32;Aceites Baos;Compras;Productos típicos;38.70604233777838, -4.178278148174287;Venta de Aceite;Egido del Carmen 4;;;;926 48 31 45;https://www.aceitesbaos.com/es/;https://www.aceitesbaos.com/images/galeria/galeria.png;;;;;;;"Fue nuestro bisabuelo Hilario Baos Romero quien en el año 1906 fundó la primitiva almazara aneja a su domicilio en la actual calle darro nº15 de Almodóvar del Campo (Ciudad Real) en una tradicional casa de labranza de principios del siglo XX.

Esta almazara estaba constituida por un “empiedro” de granito con rulo cilíndrico girando alrededor del eje, tirado por una mula. La prensa era de las llamadas de viga y el aceite resultante discurría por gravedad a depósitos subterráneos.

En los años treinta se implantaron rulos troncocónicos y prensa hidráulica movidos por motores primero a gasolina y posteriormente eléctricos.

El trabajo era duro y agotador porque, aunque no cantara1 opt 1existían las exigencias de calidad actuales, había que conseguir las máximas cantidades y calidad posibles, todo ello con turnos de trabajo que ocupaban las 24 horas del día.

También existían momentos de asueto, durante los “desayunos molineros” y meriendas a base de rebanadas fritas en el aceite recién elaborado y la celebración del remate de fin de campaña.

En el año 1945, al quedar pequeña y obsoleta aquella primitiva almazara, la familia construyó un nuevo molino de 4000m² de superficie con sus zonas bien delimitadas: patio de recepción de aceituna, empiedro de rulos troncocónicos, cuatro prensas hidráulicas, batería de decantación con azulejo refractario y almacenamiento en chapa.

También acabó resultando pequeña la anterior instalación, por lo que en el año 1975 adquirimos otra propiedad de 8000m² que, en el momento actual, está formada por patio de recepción limpieza y lavado de aceituna, dos líneas de elaboración en sistema continuo de dos fases (una de ellas para aceituna procedente de cultivo ecológico), decantadores, almacenamiento, filtrado y envasado; todo ello en acero inoxidable, diseñada para producir aceite de acuerdo a las más altas exigencias de calidad y en la que además el trabajo resulta más racional y cómodo.

Este pequeño relato es fruto de la transmisión oral de nuestros padres y abuelos hasta llegar a la cuarta generación, aparte de documentos y utensilios de cada época"
33;Dulces Artesanos Convento Clausura de La Merced;Compras;Productos típicos;38.70844988325325, -4.178980886936189;Dulces Artesanales;Calle Corredera, 5;;;;926483115;;https://scontent.fmad10-2.fna.fbcdn.net/v/t1.6435-9/61862935_131558664705046_3513636174180646912_n.jpg?stp=dst-jpg_s590x590_tt6&_nc_cat=104&ccb=1-7&_nc_sid=f7fc3c&_nc_ohc=LYPfYAtFzu0Q7kNvwEJQUzb&_nc_oc=AdrJZBb2bxsg2IIrFU3T7I2ofCouKY2oknrWOByTYHVhabI7a0vwCGnMeWVWCGAPxmQ&_nc_zt=23&_nc_ht=scontent.fmad10-2.fna&_nc_gid=92ijcMIBYwdBXi3tEzN9uQ&_nc_ss=7a30f&oh=00_AfwHmUiunGOnTmTIihg5cmmsK_NCUZ6mrjX2dc_jVYLysg&oe=69E79A46;;;;;;;En el Monasterio Ntra. Sra. de las Mercedes de Almodóvar se elaboran hojas de almendra, merceditas, paulitas, jerónimos, coquitos…entre otros, con ingredientes naturales, con materia prima de primera calidad, completamente artesanales y con un ingrediente que hacen únicos sus dulces: la oración.
34;Panadería Pilar de Abajo;Compras;Productos típicos;38.708240142298905, -4.184675216674806;Panadería y dulces;Pl Pilar, 1;;;;624 12 23 44;https://www.facebook.com/p/Panader%C3%ADa-El-Pilar-de-abajo-100063757320601/;https://scontent.fmad10-2.fna.fbcdn.net/v/t39.30808-6/481223708_1159799702821930_5455555922048295071_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=2a1932&_nc_ohc=lTOhVz3dFpoQ7kNvwGFznFT&_nc_oc=Adr-ssUUBhoUfLu-BTp-rwi7INtn0K4NyLQL2T_KAAroFFWkSvgQbLtjhVbxHnVg410&_nc_zt=23&_nc_ht=scontent.fmad10-2.fna&_nc_gid=Xx4MiduA1H3g8zPpZcM7cQ&_nc_ss=7a30f&oh=00_Afzo_h5_DKaOalIFHrgGvT1OuHaAj9bGyE1qV85TLi0zWA&oe=69C75083;;;;;;;0
35;Panificadora Casildo Gavidia;Compras;Productos típicos;38.71295511339671, -4.175877571105958;Panadería y dulces;Ramón y Cajal, 48;;;;926483393;;https://lh3.googleusercontent.com/gps-cs-s/AHVAweru_pgb8wsVzWhH95T7_HqRLd2YVnt5cZgIOdzBskzhEGCfAtWjod-KMZw2p8vKAN6Q4zR1GoyffvEpLdUEv4OJDa_KJyXp-0Z7uNqmVrz-d__Jeh4JdueCcUlzcWbc6ONtPFVf=w243-h174-n-k-no-nu;;;;;;;0
36;Panadería Hermanos Lara C.B.;Compras;Productos típicos;38.70974621702263, -4.176475703716279;Panadería y dulces;Madre Josefa 24;;;;;;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=c_v5MU9DTJv9nZe5UqrGIw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=191.63786&pitch=0&thumbfov=100;;;;;;;0
37;Punto de Venta Caracoles del Valle de Alcudia;Compras;Productos típicos;38.711989786895955, -4.168775081634522;Caracoles;Gasolinera- Puesto de Venta (entre otros);;;;606 68 37 16;https://caracolesdelvalledealcudia.com/;https://caracolesdelvalledealcudia.com/wp-content/uploads/GVDA_logo_caracol_fondo_verde.jpg;;;;;;;0
40;Alojamiento Rural El Nido De Alcudia Suites;Alojamiento;Alojamiento;38.71032997746683, -4.180340766906739;Habitaciones completas y apartamentos, barbacoa, Wi-Fi.;Calle Hospital, 5;Abierto 24h;;;608 93 87 38;https://elnidodealcudia.com/suites-el-nido-de-alcudia;https://elnidodealcudia.com/wp-content/uploads/2020/01/suites_09-600x380.jpg;;;;;;;Alojamiento rural elegante con habitaciones y cocina compartida, ideal para relajarse y disfrutar del entorno.
41;Casa Rural El Nido de Alcudia;Alojamiento;Alojamiento;38.707292441562196, -4.176717102527619;Alquiler completo o habitaciones.;Calle Hospital, 5;Abierto 24h;;;608 93 87 38;https://elnidodealcudia.com/;https://elnidodealcudia.com/wp-content/uploads/2018/03/bck_p_casa_rural.jpg;;;;;;;Casa rural completa o por habitaciones con capacidad para 8 a 10 personas.
42;Alojamiento Rural Don Tello De Almodóvar;Alojamiento;Alojamiento;38.706998799801895, -4.176285266876222;Ideal para grupos, salón compartido.;Misericordia, 3;Abierto 24h;;;691 665 380;https://www.almodovardelcampo.es/turismo/hosteleria/casa-rural-don-tello/?ved=1t:202767&ictx=111;https://www.almodovardelcampo.es/wp-content/uploads/2013/02/image19.png;;;;;;;Casa rural completa con capacidad para 8 personas, decorada en tonos suaves y chimenea.
43;Casa de la Inés;Alojamiento;Alojamiento;38.708148159803194, -4.178913831710816;Alojamiento tradicional.;Corredera, ;Abierto 24h;;;629 11 62 01;https://www.inescasarural.com/;https://www.inescasarural.com/sites/default/files/2023-03/habitacion-2.jpg;;;;;;;Casa rural acogedora y bien ubicada en Almodóvar del Campo.
44;Hotel Rural Sisapo;Alojamiento;Alojamiento;38.7094738.70947070066032, -4.176730513572694070066...;6 habitaciones y 2 suites.;Calle Cristo, 21;Abierto 24h;;;691 66 53 80;https://hotelsisapo.com/;https://hotelsisapo.com/wp-content/uploads/2025/09/caelum-2.jpg;;;;;;;Hotel rural de 4 estrellas con encanto, terraza con jacuzzi, piscina de agua salada y certificación Bike Friendly.
55;BritishPop;Restauración;Cafes/Desayunos, Copas;38.70825211793412, -4.178087711334229;Ideal para desayunos o copas.;Darro, ;;;;636 39 26 78;https://www.facebook.com/BritishPopAlmodovar/?locale=es_ES;https://scontent.fmad10-2.fna.fbcdn.net/v/t1.6435-9/129677289_2842694152640035_6386131878092978712_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=7b2446&_nc_ohc=H2xVKCOB4LwQ7kNvwEMSlmY&_nc_oc=Adq9CzMUBRZQNR4qmH8PBsdmxjeasY-7hcUzaz75IZ7vR0fF1UwDoACAg18W93R64i4&_nc_zt=23&_nc_ht=scontent.fmad10-2.fna&_nc_gid=KH3dZjQ5k-iJ1IMxyecckA&_nc_ss=7a30f&oh=00_AfwYhm5-US-7dGPpxH8iwLhgf6WT3TenaUEnXQFfbTjQcg&oe=69E8F38F;;;;;;;Pub y cafetería con buen ambiente en el centro.
56;Chocolat;Restauración;Cafes/Desayunos;38.70976745987755, -4.179804325103761;Elaboración artesanal propia.;Plaza Trinidad, 18;;;;926 442 261;https://pasteleriachocolat.com/;https://pasteleriachocolat.com/wp-content/uploads/tartas-home.jpg;;;;;;;Pastelería artesanal y cafetería famosa por sus dulces y rosquillas del Santo Voto.
57;Chocolatería churrería Cardos;Restauración;Cafes/Desayunos;38.70768280989856, -4.178162813186646;Desayunos clásicos con churros.;Calle Darro, 29;;;;616 770 124;;https://lh3.googleusercontent.com/gps-cs-s/AHVAweoww4rcKgOn-sPXhA-RwlweVwEPcMX4ZRLybvdW-8xqHbZB0YkV-hRpwR0u7dsyXDGkJm3lhZsIfZp7Fe3GaVXEUri4bYl7nxbRD1y2VVgZ4a7R9Fh1ajUTJfaQGZypSmXGtYXF=s1360-w1360-h1020-rw;;;;;;;Chocolatería y churrería tradicional.
58;La Mina;Restauración;Comidas, Tapas, Cafes/Desayunos, Copas;38.709964239023314, -4.178177863559333;Ambiente versátil.;Plaza Constitución;;;;;;https://img.restaurantguru.com/rdd7-Bar-La-Mina-meals-2023-11.jpg;;;;;;;Local polivalente para disfrutar de tapas, desayunos y copas.
59;La Bodega de Carrión;Restauración;Copas;38.71158415346252, -4.1785597801208505;Buen ambiente y música.;Calle el Jardín, 11;Verano y Temporadas;;;;;https://lh3.googleusercontent.com/gps-cs-s/AHVAwer5ARlgTe-UoK5wHfR0M2dqho4YAQaSbG5O1j9Ey1AoBO9AFAxybu-AeXhb4UIL_oOOGLJAvLlF_BZ4nDdVSrRRpG9nuMb9br5IQXL3DmjLwyb-OVP_VlDWpH77-E9QhHVVBgky0A=s1360-w1360-h1020-rw;;;;;;;Bar de copas de referencia con decoración rústica y moderna, ideal para reuniones.
50;Alojamiento Rural El Nido de Alcudia Suites;Restauración;Comidas, Tapas, Cafes/Desayunos, Copas;38.710438006549005, -4.180458784103394;Ideal para disfrutar de la gastronomía local.;Calle Hospital, 5;;;;608 93 87 38;https://elnidodealcudia.com/;https://elnidodealcudia.com/wp-content/uploads/2020/12/restaurante_03.jpg;;;;;;;Restaurante y cafetería del alojamiento rural, ofrece comidas, tapas y desayunos en un entorno cuidado.
51;Sala Kubik;Restauración;Copas;38.71295311148608, -4.180474877357484;Fiestas, conciertos y DJ invitados.;C. Lino, 2;Fines de semana;;;629 99 49 14;https://www.instagram.com/salakubik/?hl=es;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxLL2SL7ZrWKH2fviuk1x8ptbHXiOafiP0gw&s;;;;;;;Sala de conciertos y discoteca de referencia en la zona para el ocio nocturno y fiestas temáticas.
52;Bar La Ronda;Restauración;Cafes/Desayunos, Copas;38.71238986084141, -4.17831301689148;Especialidad en tapas, vinos y cañas.;Ronda San José, 29;Temporadas , Alquiler eventos;;;;;;;;;;;;Bar tradicional de barrio, conocido por su trato personal, ambiente familiar y buen tapeo.
53;Bar-Pizzería La leña;Restauración;Comidas, Tapas, Cafes/Desayunos, Copas;38.70964320476057, -4.177851676940919;Pizzas y raciones.;Cristo 8;;;;689 43 82 91;https://www.facebook.com/barpizzeriaalmodovar/?locale=es_ES;https://scontent.fmad10-2.fna.fbcdn.net/v/t39.30808-6/480459820_1213978217399612_2766868676383745672_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=2a1932&_nc_ohc=JXMRCJf2OD4Q7kNvwF0CAv_&_nc_oc=AdpSyiUdL0k2wz_mJQZ7YAQj_vPUfxd1LANMvH6EKykz4T4FYlpaBLHyqxHHxITgnZ8&_nc_zt=23&_nc_ht=scontent.fmad10-2.fna&_nc_gid=vcViSbe0qMU2GWkYI7qQLg&_nc_ss=7a30f&oh=00_AfyEqzRp_Yg-aJgt8yBI48mbbofmPEtVE3VJwcBrHy6zaQ&oe=69C9EB49;;;;;;;Bar y pizzería con opciones variadas y ambiente informal para comer, tapear o cenar.
54;Bar Restaurante La Era;Restauración;Comidas, Tapas, Cafes/Desayunos, Copas;38.7080930470276, -4.17831301689148;Comida casera y raciones abundantes.;C. Darro, 30;Verano y Temporadas;;;;;https://lh3.googleusercontent.com/gps-cs-s/AHVAweplFUVILZb1KtBeuXM8Mkhejz_zJi1uynJtNIScmxhOnGQ5WAVNP9bbbCu2kDjXXZlp7YNiW6OYzaZnJrw_WGWS9Ri9fd3s9cecrW0CCRVmSriI4OkJP8OdH84Uk1pQB_SgheJfVaUdI_0=w408-h307-k-no;;;;;;;Clásico bar restaurante con amplia variedad de comidas y raciones.
60;El UNO;Restauración;Copas;38.70895537454283, -4.177840948104859;Abierto principalmente fines de semana.;Francisco Laso,1 ;;;;;;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=k9mTARFZNdvtR475fv5BGw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=332.74265&pitch=0&thumbfov=100;;;;;;;Pub moderno situado en el centro, ideal para la primera copa de la noche con buen ambiente.
61;La Premiere;Restauración;Comidas, Tapas, Cafes/Desayunos, Copas;38.71013582544183, -4.178098440170289;Especialidad en cocina casera.;Plaza Mayor, 1;;;;926 48 34 38;;https://lh3.googleusercontent.com/gps-cs-s/AHVAweo8F_EHN2Go4dvawyRMlwLR64zu0VMEd72a_lnI85O4swqtzWTC-cwaIJWqTIsFfkR6J5rKFbF7iHHyYLt0MIbAo6Ed9WUJ1khsl-EhSbaOlSRxV_t_JDNtNBS-W55UROI0mdTHAkYCyzcQ=w408-h306-k-no;;;;;;;Café-Bar acogedor con una amplia terraza, ideal para desayunos y raciones variadas.
62;Max copas;Restauración;Cafes/Desayunos, Copas;38.71010233774168, -4.178388118743897;Buen ambiente musical.;Blasco Ibañez 12;;;;;;;;;;;;;Local versátil que funciona como cafetería durante el día y bar de copas por la noche.
63;McCloud Vin&Gin;Restauración;Comidas, Tapas, Cafes/Desayunos, Copas;38.709064211256994, -4.179267883300782;Referente en Gintonics y vinos.;Calle de la Corredera, 8;;;;650 96 35 15;;https://lh3.googleusercontent.com/gps-cs-s/AHVAwepiPcFdrA2QjV6nGYCeh0rX3Kgwfj5g1kpxFHxUt9UsInbbVDPpikY5mOXBB6qc3PJP_R223SrCSIiNr-q-TUqkIjHLy91k8hXLX4rkWDpEeDGdI7gICBXWu8RMBbWV5mGUS8s=w408-h408-k-no;;;;;;;Local con decoración cuidada especializado en vinos y combinados Premium, con opciones para picar.
64;Merinanegra;Restauración;Comidas, Tapas, Cafes/Desayunos, Copas;38.71115719276075, -4.178227186203004;Gastronomía creativa y local.;Calle Jardín, 1;;;;621 21 02 18;https://merinanegra.com/;https://lh3.googleusercontent.com/gps-cs-s/AHVAwepxOOuyZjBz0DunT9NC3gOCEPwLHswWAkEB1CbED7muLXZqhk4GAoMTBcY2ye06bqMato-Ub-YLOHjDBzjBghhLa9QbEq9poyZQykVyH7sKmgrBt74pnrwaAHck1GmO1LJam7msNw=w533-h240-k-no;;;;;;;Espacio gastronómico que apuesta por productos locales de calidad en un formato moderno.
65;Mesón Rte. Gallardo Vizcaíno;Restauración;Comidas, Tapas, Cafes/Desayunos, Copas;38.706560924913084, -4.17832374572754;Salón para celebraciones.;Carretera de Puertollano, s/n;;;;926 48 30 79;;https://lh3.googleusercontent.com/gps-cs-s/AHVAwepgg_Sg1RcPVGjZL709B7fqTQePjWfiA4tgvaFvRYzuLgdvMVtVslbhAXG8JmUSWyLF8Isdh1hVKKhfgSEvwysVZtfjV1J4HeT0yHhgIR96Rlx7SekQEYby8BA_Pn8suBEzwMKBk8QRG7Yf=w408-h541-k-no;;;;;;;Restaurante tradicional especializado en carnes a la brasa y cocina típica de la zona.
66;Bar el Mercao;Restauración;Comidas, Tapas, Cafes/Desayunos, Copas;38.70988257432029, -4.178007245063783;Ambiente auténtico y cercano.;Plaza de la Constitución, 1;;;;683 10 06 81;https://www.facebook.com/p/Bar-el-mercao-100077255467478/;https://scontent.fmad10-2.fna.fbcdn.net/v/t39.30808-6/476396930_647155011203009_3930486111718746798_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=100&ccb=1-7&_nc_sid=2a1932&_nc_ohc=xSKU-ossw1cQ7kNvwGGmc9J&_nc_oc=AdrWe59oGhu42iCtvhavBzAO57k38m4GlJMZmz2WS8ygwStESt33K6vOTJdN88w_nDM&_nc_zt=23&_nc_ht=scontent.fmad10-2.fna&_nc_gid=wr4IAvAaXNRr4A9JpTTJVw&_nc_ss=7a30f&oh=00_Afymw6vlFLnqD9LtY2ZvbL3pwLS4fr6fN8z49rJ_4oawFg&oe=69CA0022;;;;;;;Bar clásico ubicado junto al mercado, muy popular para el almuerzo y tapeo diario.
67;Bar La Parada;Restauración;Comidas, Tapas, Cafes/Desayunos, Copas;38.710123267556135, -4.177913367748261;Tapas caseras.;Calle Ciudad Real, 2;;;;;;https://tamararestaurant.es/wp-content/uploads/bar-restaurante-la-parada-2.avif;;;;;;;Bar de toda la vida ideal para una parada rápida, cañas y tapas tradicionales.
1000;VOCATIO;Rutas Guiadas;Rutas Guiadas;;Vocatio es un proyecto pastoral dedicado a dar a conocer la rica figura de Juan de Ávila, especialmente el itinerario de su vocación vivida en Almodóvar del Campo, su pueblo natal.;;;;;663 27 40 61;https://vocatio.es/;https://vocatio.es/wp-content/uploads/2015/04/principal.jpg;;;;;;;"Vocatio es un encuentro con el Señor que puedes realizar de dos modos:

1. Peregrinando espiritual y físicamente por los lugares almodovenses vinculados a la experiencia vocacional de Juan de Ávila.

2. Te ofrecemos su Casa Natal para que participes en los retiros espirituales que hemos organizado o para que tú y tu grupo organicéis las actividades espirituales que más os interesen."
1001;MUSEO PALMERO;Rutas Guiadas;Rutas Guiadas;;AMPACE le ofrece una experiencia única en el arte y la cultura, donde el pasado se encuentra con el presente.;;;;; 681 371 012;https://www.ampace.org/;https://www.ampace.org/wp-content/uploads/go-x/u/3b89ea2c-324d-4823-8466-0e73787e1493/image.jpg;;;;;;;"AMPACE es un espacio cultural único que alberga dos joyas patrimoniales del sur de Europa: el Centro Cervantino, dedicado a la vida, obra y legado de Miguel de Cervantes, y el Museo Palmero, que custodia la vasta obra del Maestro Palmero, figura esencial del arte contemporáneo español.

Ubicados en un enclave histórico, estos museos ofrecen una experiencia inmersiva y educativa que conecta literatura, pintura, identidad y emoción. El visitante podrá recorrer salas interactivas, exposiciones."
1002;Descubre Alcudia;Rutas Guiadas;Rutas Guiadas;;Empresa de Ecoturismo y Gestión Cultural en el Parque Natural Valle de Alcudia y Sierra Madrona;;;;;659 72 11 98;https://www.facebook.com/descubrealcudia/?locale=es_ES;https://scontent-mad1-1.xx.fbcdn.net/v/t39.30808-6/622314247_1448273223753320_2328936569774801415_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=105&ccb=1-7&_nc_sid=2a1932&_nc_ohc=YWQKcFxHDbAQ7kNvwGrin7g&_nc_oc=AdrInWcX0lsul16PmegqBKsEezgQ7ZtI0R74i8pNtp_4JnUvHPDc_-YQM9uAaU8j2-U&_nc_zt=23&_nc_ht=scontent-mad1-1.xx&_nc_gid=uLomGGG7nG93bWVKzRj3RA&_nc_ss=7a30f&oh=00_Afzvs4CYGWzndRg8aZTpv2XiuHfbkU03_qVxY8gf9gJwvg&oe=69C6C455;;;;;;;"Descripción
Descubre Alcudia es una empresa de ecoturismo y gestión cultural situada en el Parque Natural Valle de Alcudia y sierra madrona.

Esta empresa nace en 2013 y está formada principalmente por Mª José y Yolanda, ambas con una amplia experiencia en materia de turismo y acreditadas por la dirección general de turismo y artesanía de la JCCM como informadoras turísticas locales, con número de registro 13015210047, en el Parque Natural Valle de Alcudia y Sierra Madrona, así como en el campo de calatrava. además contamos con un extenso recorrido en actividades en colegios, asociaciones, grupos, campamentos... etc, siendo ambas monitoras y directoras de actividades juveniles.

Realizamos no sólo rutas naturales sino rutas culturales y experiencias gastronómicas, artísticas... etc, que acompañamos en muchos de los casos con talleres acordes a la actividad y las adaptamos a todas las edades.

Además en estos últimos años nos dedicamos también a la realización de eventos relacionados con el turismo pero sobre todo con la identidad del lugar donde vivimos y la puesta en valor de nuestros recursos, contando entre ellos con el festival de las grullas Valle de Alcudia y las I Jornadas sobre geología , paleontología y volcanismo de Ciudad Real.

Visitas de grupo
Realizamos rutas para todas las edades especializadas en rutas naturales y culturales del Parque Natural Valle de Alcudia y Sierra Madrona y el Campo de Calatrava.
"
1003;Aceites Baos;Rutas Guiadas;Rutas Guiadas;;"Rutas del aceite ofrecen paisaje, gastronomía, catas e historia; permitiendo al visitante disfrutar de la naturaleza, de la gastronomía y del patrimonio cultural a partes iguales.";;;;;926483145;https://www.aceitesbaos.com/es/;https://www.aceitesbaos.com/images/phocagallery/Multimedia-galeria/2_opt.jpg;;;;;;;"Se pretende que cuando el visitante finalice el recorrido previsto con sus actividades correspondientes, tenga una visión certera, objetiva y real de cómo se elabora un aceite de oliva virgen extra de primera calidad y de la cultura que lo rodea.

Realizaremos una visita guiada por el olivar, con diez variedades diferentes de olivos, dónde se explicará el cuidado que requiere el cultivo a lo largo del año; riego, poda, limpieza del suelo, siempre encaminado a una producción respetuosa con el medio ambiente.

Veremos cómo funciona una almazara y cómo se produce el aceite de oliva en cuestión de horas, cómo se almacena y cómo se comercializa hoy en día.

Disfrutaremos de una degustación comentada de nuestros aceites, donde se darán a conocer los principios básicos del análisis sensorial, apreciando sus aromas, su sabor, y conociendo las peculiaridades de cada uno de ellos.

niños optContenido del pack:
• Visita guiada al olivar situado junto a nuestra almazara. El guía explicará el proceso de recolección de aceituna.
• Visita guiada a la almazara en la que se explica el proceso de elaboración y producción de un auténtico zumo natural de oliva virgen extra.
• Introducción a la cata y clasificación de aceites de oliva y cata-degustación de dos de nuestros aceites.

Es necesario reservar con antelación.

Las visitas se atenderán en grupos a partir de 10 personas."
1004;MADRONACTIVA;Rutas Guiadas;Rutas Guiadas;;Madronactiva S.L. es una empresa de Ecoturismo activo situada en el corazón del Parque Natural del Valle de Alcudia y Sierra Madrona. Nos dedicamos a la organización de actividades de ocio en la naturaleza y a la difusión pedagógica y didáctica del Patrimonio Natural y Cultural. Siempre irás acompañado por guías con experiencia y grandes conocimientos de la zona.;;;;;649726592;https://madronactiva.com/;https://madronactiva.com/wp-content/uploads/2023/09/chorrera-arroyo-grupo.jpg;;;;;;;
1005;Fabrica de harinas “La Purísima”;Rutas Guiadas;Rutas Guiadas;;La localización es una fábrica de harinas construida en 1950. Todas las plantas y maquinarias están en perfecto estado. El interior del edificio y las escaleras están construidos en madera, al igual que parte de la maquinaria de la fábrica, el resto de la maquinaria es de forja, maquinaria industrial del siglo pasado. Las antiguas naves donde se almacenaba el trigo se han transformado en salas de exposición para albergar la colección de aperos de labranza que colecciona Jacinto; C. San Antón, 57,;;;; 926 48 31 23;https://www.castillalamanchafilm.com/menu/localizaciones/id141-museo-la-purisima.html;https://www.castillalamanchafilm.com/images/localizaciones/grandes/dde5133735aff31aab0be54c82fef6b2.jpg;;;;;;;
500;Semana Santa;Evento;Religioso;;;;;;;;https://www.cofradiasyhermandades.es/semanasantae.php?cc=187100;https://www.almodovardelcampo.es/wp-content/uploads/2026/03/SEMANA-SANTA-2026-Almodovar-del-Campo-portada-724x1024.jpg;;;;;;10/04/2026;
2000;Procesión Domingo Ramos ;Ruta;Religioso;;;"[{""color"":""green"",""arrows"":true,""coords"":[[38.70601253442903,-4.178962111473084],[38.708829793512905,-4.179090857505799],[38.70898049072233,-4.178495407104493],[38.709897225236055,-4.178490042686463],[38.70989303926043,-4.179176688194276],[38.70943676644739,-4.179224967956544],[38.70939490641043,-4.179793596267701],[38.70931118626304,-4.179600477218629]]}]";Salida 12h  (Iglesia Carmen);;;;https://www.cofradiasyhermandades.es/fichaimagineriaytallas.php?ii=18710103&Sant%C3%ADsimo%20Ni%C3%B1o%20Jes%C3%BAs%20-%20Almod%C3%B3var%20del%20Campo;https://www.almodovardelcampo.es/wp-content/uploads/2017/04/MG_2039-678x381.jpg;;;;;;;
501;CARIBE MIX FESTIVAL;Evento;Concierto;;"Una experiencia de verano única
Caribe Mix Festival se ha consolidado como uno de los eventos más potentes dentro del circuito de música urbana, reuniendo a artistas y DJs que marcan tendencia en el panorama actual.

El evento en Almodóvar del Campo contará con una producción espectacular, efectos visuales, sonido profesional y un ambiente pensado para vivir una auténtica fiesta al aire libre.";Plaza de Toros;27/06/2026;Consultar;;;https://sysproducciones.com/caribe-mix-almodovar-entradas-2026/;https://sysproducciones.com/wp-content/uploads/2026/03/caribe1080x1350.jpg;;;;;;28/06/2026;
502;EL ARREBATO;Evento;Concierto;;"Un directo cercano y lleno de sentimiento
El Arrebato es uno de los artistas más queridos del panorama nacional, con una trayectoria repleta de éxitos que conectan con el público desde el primer momento.";Plaza de Toros;04/07/2026;Consultar;;;https://sysproducciones.com/el-arrebato-almodovar-entradas/;https://sysproducciones.com/wp-content/uploads/2026/03/VIVATICKETS-arrebato-almodovar1080x1350.jpg;;;;;;05/07/2026;
503;ROSARIO;Evento;Concierto;;"Un directo lleno de energía y emoción
Rosario ofrece un espectáculo donde mezcla flamenco, pop, rumba y sonidos latinos, conectando con el público desde el primer momento y convirtiendo cada concierto en una experiencia inolvidable.";Plaza de Toros;11/07/2026;Consultar;;;https://sysproducciones.com/rosario-almodovar-entradas/;https://sysproducciones.com/wp-content/uploads/2026/03/rosarioalmodovar_vivatickets1080x1350.jpg;;;;;;12/07/2026;
